"Index","Value"
2017-06-04 03:15:00,99.74777225
2017-06-04 03:25:00,99.77605555
2017-06-04 03:35:00,99.8040514
2017-06-04 03:45:00,99.83204475
2017-06-04 03:55:00,99.85757975
2017-06-04 04:05:00,99.8899135
2017-06-04 04:15:00,99.923914
2017-06-04 04:25:00,99.96666545
2017-06-04 04:35:00,100.01578325
2017-06-04 04:45:00,100.0543385
2017-06-04 04:55:00,100.11488725
2017-06-04 05:05:00,100.17275705
2017-06-04 05:15:00,100.21977425
2017-06-04 05:25:00,100.2661439
2017-06-04 05:35:00,100.3065079
2017-06-04 05:45:00,100.3360243
2017-06-04 05:55:00,100.3671276
2017-06-04 06:05:00,100.40394805
2017-06-04 06:15:00,100.44214145
2017-06-04 06:25:00,100.46247125
2017-06-04 06:35:00,100.49538425
2017-06-04 06:45:00,100.51484285
2017-06-04 06:55:00,100.52540425
2017-06-04 07:05:00,100.5374829
2017-06-04 07:15:00,100.5414636
2017-06-04 07:25:00,100.53676095
2017-06-04 07:35:00,100.53734225
2017-06-04 07:45:00,100.5259851
2017-06-04 07:55:00,100.51072125
2017-06-04 08:05:00,100.4914055
2017-06-04 08:15:00,100.4680404
2017-06-04 08:25:00,100.439684
2017-06-04 08:35:00,100.4125575
2017-06-04 08:45:00,100.3776907
2017-06-04 08:55:00,100.35468875
2017-06-04 09:05:00,100.3300935
2017-06-04 09:15:00,100.29536825
2017-06-04 09:25:00,100.26570875
2017-06-04 09:35:00,100.22266975
2017-06-04 09:45:00,100.1936615
2017-06-04 09:55:00,100.1541665
2017-06-04 10:05:00,100.1011438
2017-06-04 10:15:00,100.03169625
2017-06-04 10:25:00,99.97187285
2017-06-04 10:35:00,99.8976556
2017-06-04 10:45:00,99.84108585
2017-06-04 10:55:00,99.7751166
2017-06-04 11:05:00,99.7071917
2017-06-04 11:15:00,99.6461355
2017-06-04 11:25:00,99.5990441
2017-06-04 11:35:00,99.5589707
2017-06-04 11:45:00,99.5220755
2017-06-04 11:55:00,99.4857633
2017-06-04 12:05:00,99.44944885
2017-06-04 12:15:00,99.42152665
2017-06-04 12:25:00,99.4009831
2017-06-04 12:35:00,99.39280745
2017-06-04 12:45:00,99.36481325
2017-06-04 12:55:00,99.3314645
2017-06-04 13:05:00,99.29638475
2017-06-04 13:15:00,99.269617
2017-06-04 13:25:00,99.243576
2017-06-04 13:35:00,99.2361962
2017-06-04 13:45:00,99.229107
2017-06-04 13:55:00,99.23164
2017-06-04 14:05:00,99.23995975
2017-06-04 14:15:00,99.2329423
2017-06-04 14:25:00,99.2421285
2017-06-04 14:35:00,99.263395
2017-06-04 14:45:00,99.2782955
2017-06-04 14:55:00,99.294937
2017-06-04 15:05:00,99.3120064
2017-06-04 15:15:00,99.3334915
2017-06-04 15:25:00,99.35497675
2017-06-04 15:35:00,99.3767501
2017-06-04 15:45:00,99.418128
2017-06-04 15:55:00,99.462761
2017-06-04 16:05:00,99.51708505
2017-06-04 16:15:00,99.56410545
2017-06-04 16:25:00,99.6288485
